modeloDeRelevancia;tipoDeMemoria;tipoDeRaciocinio;comparacoes;memoria;movimentacoes;utilidade;eficienciaCpu;eficienciaMemoria
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;28144,371;15,62775;562,90375;13,084788;0,8372791;0,03874287
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6251,331;1,3675;579,01624;1,9822048;1,44951;0,016461452
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4238,471;1,4045;722,3948;1,9903378;1,4171149;0,017364029
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;238901,62;226,1515;0;27,8575;0,123180695;0,011660658
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;161252,67;226,1515;0;27,8575;0,123180695;0,017275684
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;98410,12;31,12875;19906,492;9,489837;0,3048576;0,003190129
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3483,3142;1,3385;584,0192;1,8390855;1,3739898;0,019725254
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;238901,62;226,1515;0;27,8575;0,123180695;0,011660658
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;195597,36;226,1515;0;27,8575;0,123180695;0,014242268
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3360,4316;1,366;561,9015;2,5528128;1,8688234;0,028429512
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3372,2996;1,3355;570,47876;2,547667;1,9076504;0,028067011
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8642,915;1,3695;582,27625;2,7546616;2,011436;0,019042742
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;17293,732;3,7545;593,0278;3,9119418;1,0419341;0,016844386
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;161252,67;226,1515;0;27,8575;0,123180695;0,017275684
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;120242,38;61,421;74759,21;13,5134;0,2200127;0,00155714
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6728,257;1,543;568,776;3,073613;1,9919721;0,024755226
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9006,673;1,4455;582,311;1,9905641;1,3770765;0,013422746
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;161252,67;226,1515;0;27,8575;0,123180695;0,017275684
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6329,513;1,40625;576,1455;2,5579038;1,8189538;0,02115549
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6245,923;1,4165;587,125;1,9905641;1,4052694;0,016427629
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;92579,16;32,16;19652,598;9,842145;0,30603686;0,003404348
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9531,749;1,39;642,154;2,4121807;1,7353818;0,015120272
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;174891,9;53,5245;306,71826;24,917974;0,46554333;0,014002079
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9171,029;1,52425;561,7975;2,4296606;1,5940039;0,016428832
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;195597,36;226,1515;0;27,8575;0,123180695;0,014242268
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8293,835;1,334;576,9815;2,4690347;1,8508506;0,017556144
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;195597,36;226,1515;0;27,8575;0,123180695;0,014242268
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;23188,234;3,18225;599,8785;4,109915;1,2915123;0,014081311
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4694,146;1,69225;594,6805;2,5679135;1,5174552;0,02413237
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;195597,36;226,1515;0;27,8575;0,123180695;0,014242268
