modeloDeRelevancia;tipoDeMemoria;tipoDeRaciocinio;comparacoes;memoria;movimentacoes;utilidade;eficienciaCpu;eficienciaMemoria
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;41521,508;10,668;1034,4025;12,41333;1,1636043;0,023933679
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6276,8936;1,37475;598,307;1,1300877;0,82203144;0,009217708
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;5531,8267;1,5385;862,19525;0,13739926;0,089307286;9,71E-04
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;242382,9;230,38075;0;31,451117;0,13651799;0,012975798
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;163927,77;230,38075;0;31,451117;0,13651799;0,01918596
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;66479,48;22,11375;20692,559;7,913018;0,3578325;0,002894247
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3794,3394;1,40875;608,4332;0,72750515;0,5164189;0,007364402
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;242382,9;230,38075;0;31,451117;0,13651799;0,012975798
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;193737,1;230,38075;0;31,451117;0,13651799;0,016233915
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3561,727;1,34925;595,4647;0,7500305;0,555887;0,007881473
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3402,7388;1,3345;590,53973;1,4663696;1,0988158;0,015753632
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7716,0645;1,33;595,2365;1,2793652;0,96192867;0,009360001
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;22403,977;4,98925;651,5295;0,78778946;0,15789737;0,002724099
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;163927,77;230,38075;0;31,451117;0,13651799;0,01918596
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;143494,72;64,247;84511,4;16,269577;0,2532348;0,001645704
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6763,671;1,528;597,9802;1,3153843;0,86085355;0,010322023
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;8755,864;1,472;619,2352;0,7129389;0,4843335;0,004769391
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;163927,77;230,38075;0;31,451117;0,13651799;0,01918596
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6662,237;1,41175;623,6635;0,71465737;0,50622094;0,005540464
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6235,541;1,38675;603,2745;0,13739926;0,09908005;0,001119955
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;66205,91;22,22825;20918,76;7,862449;0,35371426;0,002854987
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8432,81;1,3495;637,3472;0,13739926;0,10181494;9,28E-04
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;165455,7;54,628;277,1035;29,653719;0,54283005;0,017627234
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;8580,648;1,51975;593,3837;0,7571232;0,4981893;0,005216328
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;193737,1;230,38075;0;31,451117;0,13651799;0,016233915
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7607,9297;1,33525;587,3635;1,4108492;1,056618;0,010465026
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;193737,1;230,38075;0;31,451117;0,13651799;0,016233915
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;28953,654;4,95925;654,7255;0,22939864;0,04625672;6,46E-04
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4180,053;1,5575;607,855;0,7635569;0,4902452;0,007443088
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;193737,1;230,38075;0;31,451117;0,13651799;0,016233915
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9938,808;1,49825;728,12573;1,2793652;0,85390633;0,007429503
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;31314,387;3,96625;1277,3578;1,9463514;0,49072838;0,0044147
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;137157,56;59,05325;74283,6;17,371094;0,29415983;0,001974003
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;193737,1;230,38075;0;31,451117;0,13651799;0,016233915
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9558,018;1,41875;730,086;0,69794405;0,4919429;0,00413992
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;163927,77;230,38075;0;31,451117;0,13651799;0,01918596
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;85433,53;54,3005;277,64825;29,732204;0,54754937;0,033706155
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;193737,1;230,38075;0;31,451117;0,13651799;0,016233915
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;57435,51;24,44625;514,2995;12,964799;0,53033894;0,020717654
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6823,876;1,463;599,06976;0,74677664;0,51044196;0,005827557
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;139554,95;21,5965;20809,22;8,122275;0,3760922;0,002336356
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;124626,23;24,53075;519,633;12,549799;0,5115946;0,009666886
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3861,6665;1,4055;641,9505;0,74677664;0,5313245;0,007263537
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3714,0266;1,364;604,65875;0,74677664;0,54749024;0,007650919
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;269921,56;65,3945;85126,05;16,40701;0,2508928;0,001463367
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4954,709;1,56275;740,49725;0,13739926;0,087921456;0,001111673
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;193737,1;230,38075;0;31,451117;0,13651799;0,016233915
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7973,686;1,372;595,2432;0,7018;0,51151603;0,005039452
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;193737,1;230,38075;0;31,451117;0,13651799;0,016233915
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6757,276;1,362;629,91626;0,7018;0,51527166;0,005375126
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;164822,77;54,6065;277,3855;29,65327;0,54303557;0,017693238
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;242382,9;230,38075;0;31,451117;0,13651799;0,012975798
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;242382,9;230,38075;0;31,451117;0,13651799;0,012975798
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;199132,08;79,121;64701,004;14,911257;0,18846142;0,001762264
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;7001,409;1,54125;613,57825;0,7532536;0,488729;0,005733749
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8761,19;1,38175;639,646;0,15892532;0,11501742;0,001048483
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;80091,875;37,79075;524,492;23,33347;0,6174387;0,0273428
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4084,3652;1,4675;615,3632;2,3043816;1,5702771;0,022508126
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;5187,477;1,60875;784,519;0,15884347;0,0987372;0,00121881
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;125605,1;24,66725;527,046;11,828008;0,4795025;0,009037598
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;125366,11;30,728;3342,7185;23,225838;0,7558526;0,014626459
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6717,094;1,398;639,4808;0,74677664;0,534175;0,005695411
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;163927,77;230,38075;0;31,451117;0,13651799;0,01918596
