modeloDeRelevancia;tipoDeMemoria;tipoDeRaciocinio;comparacoes;memoria;movimentacoes;utilidade;eficienciaCpu;eficienciaMemoria
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;56089,63;17,88625;928,9915;9,030553;0,504888;0,013812506
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6168,397;1,44125;560,9703;0,35053852;0,2432184;0,002976189
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3980,0278;1,417;665,5695;0,35041076;0,24729058;0,003294659
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;86433,305;26,755;19522,02;5,8414054;0,21832949;0,002073969
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3366,4238;1,38275;558,5585;0,22212455;0,1606397;0,002481282
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3402,7563;1,32525;554,4022;0,35002753;0,2641219;0,00391233
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3534,7966;1,39025;556,61774;0,13811962;0,09934877;0,001517636
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8107,404;1,346;577,5385;0,35002753;0,26005018;0,002521306
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;26492,816;7,75475;586,3085;2,7774305;0,35815862;0,008583999
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;151287,25;61,5055;72781,234;11,2734;0,18329093;0,00128238
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6533,636;1,582;556,0185;0,35002753;0,22125635;0,002894267
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9237,036;1,5585;588,8915;0,86773586;0,5567763;0,005736736
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6077,296;1,468;578,5155;0,35002753;0,23843837;0,002950718
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6350,043;1,4425;581,2505;0,91795605;0,6363647;0,0075474
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;89098,32;27,469;20014,95;5,294839;0,19275689;0,001830555
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9157,839;1,42125;635,5873;0,6286443;0,44231787;0,004052185
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;178334,77;57,82925;305,0265;21,698362;0,3752143;0,011962598
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9418,267;1,65275;562,12573;0,629325;0,38077444;0,004184474
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7543,462;1,31675;554,473;0,35053852;0,26621494;0,002678281
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;29071,871;6,518;592,02325;2,0261633;0,3108566;0,005790345
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4496,891;1,761;582,601;0,8514497;0,48350352;0,008248163
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9837,999;1,56325;646,8975;0,91795605;0,58721006;0,005629224
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;26889,768;3,66;1172,605;2,4785116;0,67718893;0,006418384
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;148606,75;58,7025;63480,8;11,6015835;0,19763355;0,001480899
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;10759,532;1,4615;752,271;0,30812666;0,21082905;0,001685388
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;98713,625;57,60525;308,3835;21,697872;0,37666482;0,021314748
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;69673,18;33,165;470,33;11,683917;0,3522966;0,015709156
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6367,556;1,4905;569,007;0,86773586;0,5821777;0,007196573
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;203136,95;26,518;19824,408;5,649846;0,21305703;0,001407602
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;139915,19;31,283;483,412;10,172104;0,32516393;0,007027394
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3783,3503;1,40625;596,1392;0,3082544;0,21920313;0,003163289
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3553,4836;1,3865;561,241;0,35053852;0,25282258;0,003824379
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;285364,3;60,901;72233,93;11,407117;0,1873059;0,001131991
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4491,393;1,541;701,84424;0,48609447;0,31544092;0,004223296
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7766,9263;1,334;557,24677;0,35053852;0,2627725;0,002627844
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6337,693;1,4035;616,591;0,629325;0,44839686;0,005033149
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;177726,98;57,24825;310,5855;21,768425;0,38024613;0,012037871
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;254056,92;64,77975;50556,67;10,312394;0,15919164;0,001357566
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6829,82;1,607;571,53577;0,35053852;0,21813224;0,002794209
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8856,423;1,407;615,409;0,91795605;0,6524208;0,006115421
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;71615,58;32,64725;497,7695;12,652494;0,3875516;0,016519066
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3686,654;1,4495;578,3235;0,4360224;0,30080885;0,004604303
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;5020,507;1,75725;739,246;0,74824506;0,42580456;0,006027931
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;147868,5;33,8795;465,57275;11,805718;0,348462;0,007740225
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;132388,16;30,1325;2702,3025;17,161947;0,5695494;0,010765836
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6824,322;1,4655;632,1385;0,86773586;0,5921091;0,006600907
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;54959,355;11,49875;561,9415;3,118661;0,2712174;0,005148109
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4587,966;1,4775;722,869;0,628814;0,42559323;0,005321421
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;42519,32;10,659;1670,4015;5,669757;0,531922;0,009573518
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3883,6257;1,41975;609,71875;0,35053852;0,24690159;0,003512124
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8697,745;1,4665;582,523;0,91795605;0,6259502;0,006320717
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3778,9065;1,489;560,1765;0,35053852;0,23541875;0,003736817
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6526,646;1,45925;580,8892;0,35053852;0,24021828;0,002841696
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;140142,52;58,95725;62881,805;11,471823;0,19457866;0,001491861
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;293800,6;60,8615;72672,05;11,514397;0,18919015;0,001128286
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4167,9907;1,58525;589,5725;0,46274295;0,29190534;0,004598132
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;10447,742;1,462;744,0095;0,35053852;0,23976643;0,001959647
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;16576,887;3,4805;1070,148;0,5677575;0,16312526;0,002081347
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;120468,69;9,73225;4257,0986;1,5932535;0,16370864;9,77E-04
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;5992,597;1,3975;556,0922;0,35053852;0,25083256;0,003034041
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4083,715;1,5485;570,4265;0,35053852;0,22637296;0,003581316
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;5793,991;1,32675;566,326;0,35002753;0,26382327;0,003055075
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3787,8455;1,44225;567,7845;0,35053852;0,24304976;0,003703254
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;179426,98;51,4725;374,15976;23,48919;0,45634443;0,01282381
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;112767,52;34,4185;464,6575;11,72347;0,34061536;0,00998472
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;142265,39;52,04075;376,099;23,300774;0,44774094;0,01595655
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6005,652;1,3805;572,501;0,35053852;0,25392142;0,002988225
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;144001,12;27,547;19806,81;5,455192;0,19803216;0,001594763
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;243452,6;63,89025;51377,184;12,082759;0,18911742;0,001595664
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;7391,7476;1,588;613,70325;0,28449354;0,1791521;0,002102877
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;135755,44;57,6015;306,76;21,729937;0,37724602;0,015652977
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;90918,016;29,56575;2129,7341;15,608857;0,5279371;0,013909734
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;10594,509;1,77675;625,0767;0,91795605;0,51664895;0,005449338
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;10234,77;1,5535;680,5715;0,35053852;0,22564435;0,002057093
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3361,62;1,35025;557,55524;0,86773586;0,6426483;0,009709289
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;182306,03;51,60825;376,83475;23,439888;0,4541888;0,012597053
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4006,3823;1,5595;568,7015;0,3082544;0,19766232;0,003180045
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;8340,954;1,36125;581,625;0,35053852;0,2575122;0,002476044
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9783,072;1,4305;661,3898;0,35053852;0,24504615;0,002137825
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;45691,816;12,26975;1542,1252;6,1755567;0,5033156;0,010105132
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;122096,97;10,07075;4307,927;1,2587435;0,124990046;7,62E-04
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;7167,426;1,509;655,949;0,35053852;0,23229857;0,002553658
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;177701,53;57,82475;305,47174;21,668789;0,37473208;0,01198785
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;70809,25;34,30975;462,08676;11,790735;0,34365553;0,015631335
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;10899,665;1,6625;690,2535;0,91795605;0,552154;0,00515642
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;219289,17;76,20275;46819,688;11,558721;0,15168376;0,001681303
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6212,2134;1,3655;594,36725;0,21461613;0,15717037;0,001765533
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;230759,92;64,1995;69551,58;11,310008;0,17616972;0,00122102
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;7053,475;1,599;561,883;0,35053852;0,21922359;0,002766178
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;121251,02;9,98575;4210,6216;1,2762172;0,12780385;7,81E-04
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;133023,39;63,016;48023,273;12,214677;0,19383453;0,001991774
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6032,98;1,3955;563,214;0,28449354;0,20386496;0,00243884
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;295418,5;63,64575;69356,98;11,618877;0,18255544;0,001174825
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8151,3467;1,42925;556,9475;0,3082544;0,21567562;0,002246618
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;5954,6504;1,383;590,591;0,67954516;0,49135587;0,005729452
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;10111,446;1,462;701,61475;0,3082544;0,21084431;0,001799753
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9654,412;1,687;572,1795;0,86756617;0,51426566;0,005642264
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9606,515;1,47075;690,89325;0,629325;0,4278939;0,003810524
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9241,15;1,60725;559,3577;0,35053852;0,21809833;0,002362959
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;7997,3506;1,37375;561,5817;0,86773586;0,63165486;0,00637424
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;56724,824;12,15225;560,7005;2,7239358;0,22415073;0,004370056
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9940,782;1,63975;581,85675;0,35053852;0,21377559;0,002224321
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9420,1;1,3965;677,2147;0,35053852;0,25101218;0,002164854
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7966,502;1,35625;576,68677;0,86756617;0,6396801;0,006317213
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;5203,713;1,78075;737,8015;0,91795605;0,51548845;0,007295946
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;239221,17;65,436;70418,37;11,283502;0,1724357;0,00119604
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;104746,99;37,2425;23179,283;6,759716;0,18150543;0,002008593
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4290,224;1,45;666,0452;0,35002753;0,24139829;0,003196401
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;69202,484;33,58825;466,91376;11,896412;0,35418373;0,016104171
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;7715,3896;1,7445;573,1658;0,86773586;0,49741235;0,006452985
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;293127,97;59,8655;71506,45;11,796278;0,19704634;0,001170042
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6398,699;1,447;603,4355;0,35053852;0,24225192;0,002819408
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;7140,7407;1,4365;687,216;0,34989977;0,24357799;0,002496983
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3552,1987;1,42625;558,74774;0,86773586;0,60840374;0,009494165
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;132632,39;54,3225;65231,734;11,4820385;0,21136801;0,001462774
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;40292,17;11,01125;562,8948;2,6090665;0,23694554;0,005681626
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;139552,1;51,50175;378,358;23,446259;0,45525166;0,01635759
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;225582,12;64,514;70180,91;11,272473;0,17472911;0,001215504
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9091,349;1,42825;661,8895;0,35053852;0,2454322;0,002231274
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3891,3154;1,48375;585,1553;0,3082544;0,2077536;0,003163898
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;45040,125;10,60375;644,8478;4,3683863;0,41196617;0,008484181
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;7399,24;1,51475;699,2853;0,3082544;0,20350182;0,002141832
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;195228,06;70,65225;47290,5;12,30236;0,17412551;0,001841304
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;398372,84;76,20925;50221,023;10,0896845;0,13239448;0,00112035
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;65528,492;8,7505;1696,0332;5,9502583;0,6799907;0,007213411
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;98323,97;57,9855;308,01926;21,63156;0,37305117;0,021332024
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;7682,785;1,54175;718,6365;0,30812666;0,19985515;0,002072255
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8355,939;1,42875;576,6838;0,28449354;0,19912058;0,002014431
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6285,353;1,4005;584,9055;0,8670552;0,61910397;0,007145426
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8803,416;1,53575;557,8755;0,20567387;0,13392405;0,001430061
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6326,091;1,45325;577,539;0,9016699;0,6204506;0,007450906
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3755,9683;1,456;574,44977;0,5580124;0,3832503;0,005873527
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3317,228;1,35225;557,1035;0,7261323;0,5369808;0,008169563
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9758,014;1,52625;655,138;0,20567387;0,13475765;0,001261076
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;118835,45;43,569;403,58826;18,457798;0,4236452;0,015022053
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;179861,98;24,131;22880,385;5,6240296;0,23306243;0,001376193
