relevanceModel;memoryStrategy;engine;storing;retrieving;oblivion;comparisions;activeBeliefs;pages;utilitySum;cpuEfficiency;memEfficiency
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.4 ; 0.2 ; 0.8 ;166716,5;238,57726;0;26,050825;0,10919241;0,015625823
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.8 ; 0.4 ; 0.8 ;166716,5;238,57726;0;26,019821;0,109062456;0,015607227
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.8 ; 0.8 ; 0.8 ;166716,5;238,57726;0;25,858519;0,10838635;0,015510473
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.6 ; 0.4 ; 0.2 ;166716,5;238,57726;0;26,034573;0,10912429;0,015616074
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.6 ; 0.6 ; 0.4 ;166716,5;238,57726;0;26,345545;0,11042773;0,015802601
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.4 ; 0.8 ; 0.4 ;166716,5;238,57726;0;25,866152;0,108418345;0,015515053
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.4 ; 0.4 ; 0.8 ;166716,5;238,57726;0;26,188097;0,10976779;0,015708162
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.8 ; 0.8 ; 0.4 ;166716,5;238,57726;0;25,944098;0,10874506;0,015561805
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.2 ; 0.2 ; 0.4 ;166716,5;238,57726;0;26,04971;0,10918773;0,015625155
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.4 ; 0.6 ; 0.4 ;166716,5;238,57726;0;25,955404;0,108792454;0,015568588
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.2 ; 0.6 ; 0.6 ;166716,5;238,57726;0;25,82236;0,10823479;0,015488784
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.2 ; 0.4 ; 0.6 ;166715,73;238,57726;0;25,874008;0,10845128;0,015519836
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.6 ; 0.4 ; 0.4 ;166716,5;238,57726;0;26,157293;0,10963867;0,015689684
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.4 ; 0.6 ; 0.6 ;166716,5;238,57726;0;26,132212;0,10953354;0,015674641
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.2 ; 0.8 ; 0.6 ;166716,5;238,57726;0;25,857588;0,10838245;0,015509916
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.2 ; 0.8 ; 0.2 ;166715,73;238,57726;0;25,701982;0,10773023;0,015416651
