BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 29461,037 ; 9,8075 ; 727,1763 ; 536,3184 ; 54,68452 ; 1,4600532
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 6085,113 ; 1,412 ; 585,998 ; 8,129748 ; 5,757612 ; 0,06805932
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 4454,271 ; 1,60625 ; 668,2518 ; 163,85385 ; 102,01018 ; 1,4712845
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 234552,62 ; 230,80675 ; 0,0 ; 602,5946 ; 2,6108189 ; 0,25691232
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 45,124557 ; 0,19550796 ; 0,028067725
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 72314,484 ; 25,7855 ; 17593,479 ; 16,03466 ; 0,621848 ; 0,006459097
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 3650,1274 ; 1,393 ; 600,36224 ; 0,5276873 ; 0,37881356 ; 0,005466138
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 234552,62 ; 230,80675 ; 0,0 ; 51,86334 ; 0,22470461 ; 0,0221116
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 55,05885 ; 0,23854956 ; 0,028930496
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 3325,962 ; 1,33725 ; 588,8245 ; 0,75981086 ; 0,5681891 ; 0,00824608
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 3422,0945 ; 1,364 ; 583,4573 ; 0,75981086 ; 0,5570461 ; 0,008208255
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 8086,132 ; 1,359 ; 596,5037 ; 0,7596203 ; 0,5589554 ; 0,0054061003
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 27814,133 ; 6,627 ; 631,015 ; 2,7041519 ; 0,4080507 ; 0,007924422
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 74,020874 ; 0,320705 ; 0,046041396
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 123799,03 ; 43,61175 ; 46564,207 ; 273,72043 ; 6,2763 ; 0,046437282
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 7418,323 ; 1,69975 ; 593,57275 ; 0,911821 ; 0,5364442 ; 0,006828048
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 9287,352 ; 1,512 ; 613,542 ; 0,911821 ; 0,60305625 ; 0,0059121735
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 76,06046 ; 0,32954177 ; 0,047310032
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 6813,704 ; 1,51 ; 599,7495 ; 0,911821 ; 0,60385495 ; 0,0071173743
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 6487,307 ; 1,48375 ; 601,6355 ; 1,0139468 ; 0,68336767 ; 0,008109198
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 65533,16 ; 28,2585 ; 15296,956 ; 24,761768 ; 0,87625915 ; 0,011332476
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 8847,592 ; 1,3785 ; 669,7655 ; 0,9106775 ; 0,66062933 ; 0,0058582374
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 169320,03 ; 49,3885 ; 390,74625 ; 64,26115 ; 1,3011358 ; 0,03709639
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 12052,308 ; 2,046 ; 580,892 ; 1,5755581 ; 0,77006745 ; 0,0088211065
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 100,88687 ; 0,4371054 ; 0,053010687
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 10087,834 ; 1,5875 ; 592,22174 ; 43,980762 ; 27,704418 ; 0,2747072
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 104,3457 ; 0,45209122 ; 0,05482812
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 19105,059 ; 3,94025 ; 645,40173 ; 17,964617 ; 4,559258 ; 0,07028665
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 5571,7993 ; 2,14425 ; 599,896 ; 9,149152 ; 4,266831 ; 0,07907131
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 142,96997 ; 0,61943585 ; 0,07512312
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 12783,298 ; 1,9235 ; 669,3955 ; 2,7225866 ; 1,4154336 ; 0,0139782885
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 21448,094 ; 3,79475 ; 1056,4972 ; 32,22399 ; 8,49173 ; 0,10065887
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 151056,06 ; 66,96525 ; 77223,16 ; 13,818231 ; 0,20634928 ; 0,0014966334
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 31,467503 ; 0,13633701 ; 0,0165345
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 10138,098 ; 1,427 ; 748,412 ; 0,5276873 ; 0,36978787 ; 0,002994443
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 33,251266 ; 0,1440654 ; 0,020682473
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 72876,57 ; 42,3955 ; 417,9515 ; 541,19977 ; 12,7655 ; 0,70234525
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 34,79493 ; 0,15075351 ; 0,018282885
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 55549,152 ; 29,0055 ; 533,143 ; 13,389311 ; 0,46161282 ; 0,021992743
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 5940,0664 ; 1,38525 ; 583,6345 ; 0,5276873 ; 0,38093293 ; 0,0044808835
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 221448,5 ; 30,86875 ; 16949,318 ; 10,292115 ; 0,33341536 ; 0,0026326473
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 113670,32 ; 23,69625 ; 545,923 ; 15,850875 ; 0,6689191 ; 0,013305578
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 3370,8745 ; 1,32 ; 614,6405 ; 0,5276873 ; 0,3997631 ; 0,0055445186
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 3477,9275 ; 1,361 ; 590,0303 ; 0,59875786 ; 0,43993968 ; 0,0063845506
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 262364,2 ; 54,875 ; 64636,137 ; 21,147774 ; 0,38538083 ; 0,0023271902
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 4140,113 ; 1,49925 ; 675,2845 ; 0,5276873 ; 0,3519675 ; 0,004844298
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 52,29227 ; 0,226563 ; 0,027476806
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 9394,381 ; 1,544 ; 583,31525 ; 51,136776 ; 33,119675 ; 0,33581787
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 55,57268 ; 0,24077581 ; 0,029200489
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 6291,7476 ; 1,38375 ; 638,074 ; 0,75981086 ; 0,5490955 ; 0,005995752
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 162010,11 ; 43,6945 ; 396,7505 ; 45,36294 ; 1,0381843 ; 0,027330758
