relevancia;persistencia;raciocinio;comparacoes;crencasAtivas;movimentacoes;utilidade;cpu;memoria
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,050825;0,10919241;0,015625823
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,019821;0,109062456;0,015607227
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,858519;0,10838635;0,015510473
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,034573;0,10912429;0,015616074
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,345545;0,11042773;0,015802601
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,866152;0,108418345;0,015515053
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,188097;0,10976779;0,015708162
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,944098;0,10874506;0,015561805
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,04971;0,10918773;0,015625155
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,955404;0,108792454;0,015568588
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,82236;0,10823479;0,015488784
Customizado ; Persistente ; BBGP ;166715,73;238,57726;0;25,874008;0,10845128;0,015519836
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,157293;0,10963867;0,015689684
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,132212;0,10953354;0,015674641
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,857588;0,10838245;0,015509916
Customizado ; Persistente ; BBGP ;166715,73;238,57726;0;25,701982;0,10773023;0,015416651
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,82236;0,10823479;0,015488784
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,82236;0,10823479;0,015488784
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,183516;0,10974858;0,015705414
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,394487;0,106441356;0,015232138
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,050337;0,10919036;0,01562553
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,866152;0,108418345;0,015515053
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,961948;0,10881988;0,015572513
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,955404;0,108792454;0,015568588
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,93796;0,108719334;0,015558124
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,951378;0,10877557;0,015566172
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,996174;0,10896334;0,015593043
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,02919;0,10910173;0,015612845
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,110367;0,10944198;0,015661538
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,046003;0,109172195;0,015622931
Customizado ; Persistente ; BBGP ;166715,73;238,57726;0;25,980057;0,10889578;0,015583446
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,965904;0,108836465;0,015574886
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,188097;0,10976779;0,015708162
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,162916;0,10966224;0,015693057
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,345545;0,11042773;0,015802601
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,11078;0,10944372;0,015661785
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,023607;0,109078325;0,015609498
Customizado ; Persistente ; BBGP ;166715,73;238,57726;0;25,434647;0,10660969;0,015256296
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,724627;0,107825145;0,015430163
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,944098;0,10874506;0,015561805
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,945082;0,10874918;0,015562396
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,965103;0,108833104;0,015574405
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,47759;0,106789686;0,015281985
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,899786;0,108559325;0,015535226
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,457815;0,1067068;0,015270123
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,2071;0,109847434;0,015719559
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,053135;0,10920209;0,01562721
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,053135;0,10920209;0,01562721
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,329973;0,106170945;0,015193441
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,019821;0,109062456;0,015607227
Customizado ; Persistente ; BBGP ;166715,73;238,57726;0;25,397926;0,10645577;0,015234271
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,961948;0,10881988;0,015572513
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,598179;0,10729513;0,015354317
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,42006;0,10654855;0,015247476
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,701982;0,10773023;0,01541658
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,98951;0,1089354;0,015589044
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,897417;0,10854939;0,015533806
Customizado ; Persistente ; BBGP ;166715,73;238,57726;0;26,043484;0,10916164;0,015621492
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,107079;0,1094282;0,015659565
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,946688;0,10875592;0,015563359
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,920214;0,10864495;0,01554748
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,598179;0,10729513;0,015354317
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;26,158024;0,10964173;0,015690124
Customizado ; Persistente ; BBGP ;166716,5;238,57726;0;25,897346;0,1085491;0,015533763
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,001635;0,10898623;0,015596318
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,107079;0,1094282;0,015659565
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,127655;0,109514445;0,015671907
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,103241;0,10941211;0,015657263
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,345545;0,11042773;0,015802601
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,096909;0,109385565;0,015653465
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,434647;0,10660969;0,015256226
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,040947;0,109151006;0,015619898
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,98951;0,1089354;0,015589044
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,107079;0,1094282;0,015659565
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,023607;0,109078325;0,015609498
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,267845;0,11010205;0,015755996
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,88988;0,1085178;0,015529285
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,47759;0,106789686;0,015281985
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,961948;0,10881988;0,015572513
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,701982;0,10773023;0,01541658
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,373137;0,10635187;0,015219332
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,434647;0,10660969;0,015256226
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,98951;0,1089354;0,015589044
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,337107;0,106200844;0,01519772
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,82236;0,10823479;0,015488784
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,961885;0,10881962;0,015572474
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,110367;0,10944198;0,015661538
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,267845;0,11010205;0,015755996
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,278522;0,110146806;0,0157624
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,097948;0,10938992;0,015654089
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,955404;0,108792454;0,015568588
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,946688;0,10875592;0,015563359
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,995876;0,10896209;0,015592864
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,301168;0,110241726;0,015775984
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,158024;0,10964173;0,015690124
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,142109;0,109575026;0,015680578
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,132212;0,10953354;0,015674641
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,040615;0,10914961;0,015619699
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,06707;0,1092605;0,015635567
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,04971;0,10918773;0,015625155
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,023607;0,109078325;0,015609498
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,961948;0,10881988;0,015572513
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,002098;0,108988166;0,015596595
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,158024;0,10964173;0,015690124
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,98951;0,1089354;0,015589044
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,944098;0,10874506;0,015561805
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,501312;0,106889114;0,015296214
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,434647;0,10660969;0,015256226
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,620272;0,10738774;0,015367568
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,980057;0,10889578;0,015583375
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,965904;0,108836465;0,015574886
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,128403;0,109517574;0,015672356
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,946688;0,10875592;0,015563359
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,408386;0,10649962;0,015240475
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,98951;0,1089354;0,015589044
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,951378;0,10877557;0,015566172
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,157293;0,10963867;0,015689684
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,168367;0,109685086;0,015696326
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,034573;0,10912429;0,015616074
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,995876;0,10896209;0,015592864
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,134417;0,10954278;0,015675962
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,34514;0,11042604;0,01580236
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,023607;0,109078325;0,015609498
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,2071;0,109847434;0,015719559
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,157293;0,10963867;0,015689684
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;25,945082;0,10874918;0,015562396
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,040947;0,109151006;0,015619898
Linha base ; Persistente ; BBGP ;166716,5;238,57726;0;26,046003;0,109172195;0,015622931
Customizado ; Obliterante ; BBGP ;3520,7947;1,45625;582,2178;1,2114896;2,4957726;0,038900562
Customizado ; Obliterante ; BBGP ;3247,9934;1,34325;583,62573;0,99487376;2,2219401;0,032854896
Customizado ; Obliterante ; BBGP ;3491,5903;1,46175;584,6095;1,0542781;2,1637314;0,033871716
Customizado ; Obliterante ; BBGP ;4555,062;1,62775;691,4895;1,1584234;2,1350148;0,030298896
Customizado ; Obliterante ; BBGP ;4364,7124;1,7115;604,01825;1,2083465;2,11804818;0,034839753
Customizado ; Obliterante ; BBGP ;3893,6711;1,421;691,9875;0,98682356;2,0833713;0,027377427
Customizado ; Obliterante ; BBGP ;4080,5417;1,66675;579,87823;1,1410617;2,0538084;0,034649991
Customizado ; Obliterante ; BBGP ;4881,6284;1,59525;864,2665;1,0542781;1,9826574;0,02338632
Customizado ; Obliterante ; BBGP ;3226,5498;1,40925;579,50226;0,9128457;1,9432584;0,030355431
Customizado ; Obliterante ; BBGP ;3695,9648;1,556;580,20874;0,99195856;1,91251659;0,031331427
Customizado ; Obliterante ; BBGP ;3780,7961;1,571;580,836;1,0004017;1,91037888;0,031297908
Customizado ; Obliterante ; BBGP ;3445,2627;1,41575;608,81476;0,89231056;1,8908223;0,028079475
Customizado ; Obliterante ; BBGP ;3531,3884;1,4635;599,7025;0,9137613;1,8731013;0,028769571
Customizado ; Obliterante ; BBGP ;3772,463;1,4565;636,5265;0,83451545;1,7188782;0,024695343
Customizado ; Obliterante ; BBGP ;5036,586;1,7075;747,93176;0,722087;1,26867414;0,017308068
Customizado ; Obliterante ; BBGP ;4128,635;1,69325;576,4152;0,638061;1,13047869;0,01934928
Customizado ; Obliterante ; BBGP ;4197,011;1,70875;582,8577;0,63845915;1,12092312;0,019104888
Customizado ; Obliterante ; BBGP ;3443,1104;1,45775;593,4895;0,40122068;0,82569855;0,012834945
Customizado ; Obliterante ; BBGP ;3376,5044;1,38;589,558;0,35179085;0,7647627;0,011382258
Customizado ; Obliterante ; BBGP ;3104,2537;1,3165;574,0615;0,3076507;0,70106502;0,010434885
Customizado ; Obliterante ; BBGP ;3206,9465;1,34175;577,4375;0,3076507;0,68787186;0,01027635
Customizado ; Obliterante ; BBGP ;3436,9568;1,363;625,09375;0,3076507;0,67714749;0,00952686
Customizado ; Obliterante ; BBGP ;3265,1624;1,37825;579,72577;0,3076507;0,66965505;0,010184388
Customizado ; Obliterante ; BBGP ;3659,8496;1,37825;667,31;0,30707732;0,66840702;0,008915478
Customizado ; Obliterante ; BBGP ;3609,973;1,39875;616,3145;0,3076507;0,65984064;0,009443784
Customizado ; Obliterante ; BBGP ;3339,9236;1,402;573,5725;0,3076507;0,65831106;0,010169544
Customizado ; Obliterante ; BBGP ;3605,013;1,52775;581,3325;0,3076507;0,60412506;0,009799521
Customizado ; Obliterante ; BBGP ;4102,702;1,439;724,2073;0,25588977;0,53347416;0,006766722
Customizado ; Obliterante ; BBGP ;3524,9438;1,46;585,88873;0,25636762;0,52678278;0,008196045
Customizado ; Obliterante ; BBGP ;3969,1787;1,58325;580,74725;0,26364994;0,49957353;0,00809019
Customizado ; Obliterante ; BBGP ;3107,1208;1,2945;574,84973;0,2136463;0,49512465;0,007237653
Customizado ; Obliterante ; BBGP ;3210,9788;1,3085;588,6805;0,2136463;0,48982716;0,007045002
Customizado ; Obliterante ; BBGP ;4486,145;1,61275;639,08527;0,25531074;0,4749231;0,007041762
Customizado ; Obliterante ; BBGP ;3332,121;1,352;576,1855;0,2136463;0,4740672;0,007047951
Customizado ; Obliterante ; BBGP ;3253,562;1,3485;585,0255;0,21091582;0,46922319;0,006950355
Customizado ; Obliterante ; BBGP ;3631,684;1,37425;634,7125;0,2136463;0,46639176;0,006423
Customizado ; Obliterante ; BBGP ;3295,6238;1,38225;574,556;0,2136463;0,46369248;0,007089102
Customizado ; Obliterante ; BBGP ;3490,95;1,39275;592,97925;0,21324809;0,91867776;0,013581612
Customizado ; Obliterante ; BBGP ;3628,4814;1,38075;634,41;0,21085893;0,91627998;0,012686322
Customizado ; Obliterante ; BBGP ;3331,095;1,387;575,693;0,21091582;0,9123972;0,013924866
Customizado ; Obliterante ; BBGP ;3751,8142;1,408;642,9855;0,21324809;0,90872766;0,012566592
Customizado ; Obliterante ; BBGP ;3982,4983;1,41325;721,73627;0,2136463;0,90704244;0,01144548
Customizado ; Obliterante ; BBGP ;4091,8926;1,41525;725,2308;0,2136463;0,90576072;0,011299854
Customizado ; Obliterante ; BBGP ;3852,5193;1,413;726,6343;0,21324809;0,90551208;0,01150737
Customizado ; Obliterante ; BBGP ;3693,1743;1,4215;638,6035;0,21324809;0,9000975;0,012694332
Customizado ; Obliterante ; BBGP ;3879,8723;1,42775;666,31476;0,2136463;0,89783064;0,012158544
Customizado ; Obliterante ; BBGP ;4355,32;1,7135;619,2197;0,25636762;0,8976981;0,014583582
Customizado ; Obliterante ; BBGP ;3492,7273;1,436;580,32874;0,2136463;0,8926725;0,013789542
Customizado ; Obliterante ; BBGP ;3724,2515;1,4985;594,8835;0,22246514;0,89075136;0,013799016
Customizado ; Obliterante ; BBGP ;3954,689;1,44025;715,0545;0,2136463;0,89003832;0,011543004
Customizado ; Obliterante ; BBGP ;3649,7397;1,49075;586,9338;0,2136463;0,85988784;0,013466406
Customizado ; Obliterante ; BBGP ;4245,9316;1,54275;695,56323;0,2136463;0,83090436;0,01144374
Customizado ; Obliterante ; BBGP ;3195,642;1,33925;580,9295;0,18538487;0,8305464;0,012352212
Customizado ; Obliterante ; BBGP ;4044,2598;1,56;658,5335;0,21091582;0,8112147;0,011905392
Customizado ; Obliterante ; BBGP ;4082,275;1,58725;599,68823;0,2136463;0,80760918;0,012718104
Customizado ; Obliterante ; BBGP ;3867,5308;1,596;585,2495;0,2136463;0,8031816;0,013188006
Customizado ; Obliterante ; BBGP ;4077,3955;1,6025;623,09875;0,2136463;0,79992378;0,012435294
Customizado ; Obliterante ; BBGP ;4085,527;1,58375;616,354;0,21091582;0,79904964;0,012347418
Customizado ; Obliterante ; BBGP ;4172,5024;1,63475;589,92523;0,2136463;0,784143;0,012727452
Customizado ; Obliterante ; BBGP ;4044,6914;1,6475;593,403;0,21324809;0,77662434;0,012822168
Customizado ; Obliterante ; BBGP ;3481,5894;1,4945;577,94476;0,17729692;0,71179761;0,011486634
Customizado ; Obliterante ; BBGP ;4207,9316;1,61025;629,33673;0,17729692;0,66063132;0,010129998
Customizado ; Obliterante ; BBGP ;3358,7874;1,33225;615,7545;0,11580613;0,52155132;0,00730152
Customizado ; Obliterante ; BBGP ;4684,514;1,57525;798,3095;0,10764292;0,410003184;5,10E-03
