modeloDeRelevancia;tipoDeMemoria;tipoDeRaciocinio;comparacoes;memoria;movimentacoes;utilidade;eficienciaCpu;eficienciaMemoria
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;31899,27;16,147;478,434;4,3526936;0,2695667;0,011865499
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6942,5635;1,7755;411,9005;3,119033;1,7567068;0,028197026
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;5362,485;2,029;689,6515;1,1103518;0,5472409;0,009057442
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;203395,69;191,2605;0;27,642633;0,14452872;0,013590571
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;150829,73;191,2605;0;27,642633;0,14452872;0,018327046
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;54276,344;25,2065;8955,212;5,181772;0,20557286;0,003602745
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4071,7195;1,981;434,0055;2,286806;1,1543696;0,027185775
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;203395,69;191,2605;0;27,642633;0,14452872;0,013590571
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;174881,62;191,2605;0;27,642633;0,14452872;0,015806483
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4044,7334;1,839;424,8155;3,222541;1,7523334;0,03885909
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3146,7266;1,5945;409,895;1,5024587;0,94227576;0,020735934
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;10267,468;1,7875;469,1185;2,2115488;1,2372301;0,014784412
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;18820,402;3,8275;514,806;2,8934667;0,7559678;0,012071975
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;150829,73;191,2605;0;27,642633;0,14452872;0,018327046
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;81602,734;55,1075;33852,4;10,561742;0,19165707;0,002513942
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;9697,655;2,4875;420,3845;3,8745637;1,5576136;0,027871551
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;8990,208;1,8415;435,026;3,0310931;1,6459913;0,022721041
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;150829,73;191,2605;0;27,642633;0,14452872;0,018327046
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;8152,1914;1,9385;430,133;2,5953302;1,3388343;0,02084013
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;8141,309;2,082;433,62;2,7616243;1,3264285;0,022132818
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;51405,86;25,7835;8838,542;5,2142987;0,20223393;0,00373006
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;12540,934;1,89;544,8615;2,0520222;1,085726;0,011406747
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;147553,05;52,3995;268,393;24,52809;0,46809778;0,016326265
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;13402,924;2,612;408,025;3,233252;1,2378453;0,018493507
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;174881,62;191,2605;0;27,642633;0,14452872;0,015806483
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8899,346;1,74;422,915;2,212023;1,2712775;0,01684902
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;174881,62;191,2605;0;27,642633;0,14452872;0,015806483
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;24921,928;3,8635;519,634;1,8488934;0,47855398;0,006138777
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;10131,278;3,682;452,164;3,7513402;1,0188322;0,025601318
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;174881,62;191,2605;0;27,642633;0,14452872;0,015806483
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;14323,644;2,3025;529,456;2,6916814;1,1690255;0,013720326
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;18144,406;3,7315;537,3105;2,2125103;0,5929279;0,009407927
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;77293,37;51,9385;27770,352;8,180363;0,15750094;0,002304348
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;174881,62;191,2605;0;27,642633;0,14452872;0,015806483
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;17140,652;2,317;815,467;1,3787601;0,5950627;0,005450652
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;150829,73;191,2605;0;27,642633;0,14452872;0,018327046
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;78592,78;51,9345;267,5945;24,609446;0,47385544;0,03028157
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;174881,62;191,2605;0;27,642633;0,14452872;0,015806483
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;48638,81;22,0585;422,324;12,316632;0,5583622;0,023299575
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;10953,58;2,565;430,4465;3,610193;1,4074826;0,023660913
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;105695,016;26,7525;8891,308;5,013822;0,18741508;0,002576369
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;110910,6;23,351;426,9025;11,58957;0,49632007;0,01006217
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4744,494;1,897;483,304;3,1892877;1,6812271;0,033299673
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3504,0864;1,7425;415,712;3,9951196;2,2927516;0,052147396
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;163649,6;55,155;34081,78;10,098625;0,18309538;0,002001839
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4924,2837;1,9575;532,808;3,261258;1,6660322;0,031809818
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;174881,62;191,2605;0;27,642633;0,14452872;0,015806483
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9027,672;1,692;431,4035;2,8590536;1,6897479;0,021429444
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;174881,62;191,2605;0;27,642633;0,14452872;0,015806483
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;8259,741;1,71;522,4165;2,5203736;1,4739027;0,018691717
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;148992,7;52,89;268,3495;24,570087;0,46455073;0,01619904
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;203395,69;191,2605;0;27,642633;0,14452872;0,013590571
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;203395,69;191,2605;0;27,642633;0,14452872;0,013590571
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;169395,84;59,5095;20194,902;5,331749;0,08959492;0,001435795
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;9565,202;2,606;423,8985;3,355114;1,2874575;0,024305046
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;12381,204;1,9485;502,0425;1,7009072;0,8729316;0,009774414
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;62302,504;25,171;536,007;12,196307;0,48453805;0,018025188
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3971,482;1,8915;431,0715;1,5147355;0,80081177;0,018289052
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;8833,236;3,02;647,7045;1,0487962;0,3472835;0,006850274
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;110952,52;23,1915;424,1125;11,816048;0,5094991;0,010257551
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;90177,08;24,604;599,752;9,411091;0,38250247;0,009785422
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;9278,243;1,975;520,4505;0,84405226;0,42736822;0,005827984
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;150829,73;191,2605;0;27,642633;0,14452872;0,018327046
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;71262,42;13,1615;486,1915;3,6106484;0,2743341;0,004743094
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;174881,62;191,2605;0;27,642633;0,14452872;0,015806483
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;5681,707;2,0485;595,5325;2,6055188;1,2719154;0,022389892
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;20092,045;9,094;518,8625;3,2609017;0,35857728;0,012898795
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;150829,73;191,2605;0;27,642633;0,14452872;0,018327046
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;150829,73;191,2605;0;27,642633;0,14452872;0,018327046
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;174881,62;191,2605;0;27,642633;0,14452872;0,015806483
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;5824,41;2,103;525,763;2,7397165;1,3027658;0,024722131
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;203395,69;191,2605;0;27,642633;0,14452872;0,013590571
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;11897,248;2,1285;464,325;2,8721468;1,3493761;0,01736433
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;5086,819;2,318;425,0995;3,421774;1,4761751;0,03664427
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;8175,336;2,064;435,586;3,6859562;1,7858316;0,029414242
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;79885,6;48,651;24248,543;7,5217752;0,15460679;0,002333267
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;150829,73;191,2605;0;27,642633;0,14452872;0,018327046
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;149904,92;55,697;34400,254;9,922633;0,17815383;0,002009007
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;6891,772;2,677;486,013;3,2255533;1,2049134;0,027447073
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;12162,821;1,8575;627,577;0;0;0
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;7526,6167;3,3915;537,9655;0,45474845;0,13408476;0,003523469
