relevancia;persistencia;raciocinio;comparacoes;crencasAtivas;movimentacoes;utilidade;cpu;memoria
Customizado ; Obliterante ; BBGP ;1736,4785;1,22775;358,82925;0;0;0
Customizado ; Reminiscente ; BBGP ;23324,37;6,89575;1093,5367;6,1521397;0,89216393;0,017957348
Customizado ; Persistente ; BBGP ;42739,56;127,89525;0;11,124127;0,08697843;0,026027707
Customizado ; Obliterante ; BBGP ;1865,757;1,25775;375,87726;0,49622342;0,39453262;0,008822488
Customizado ; Reminiscente ; BBGP ;15534,956;6,13775;824,83777;0,46934962;0,076469325;0,001973439
Customizado ; Persistente ; BBGP ;50722,44;129,218;0;17,197746;0,13309094;0,033905596
Customizado ; Persistente ; BBGP ;41189,79;124,25175;0;13,813644;0,11117465;0,033536576
Customizado ; Reminiscente ; BBGP ;10279,448;3,15825;1009,925;4,533113;1,4353243;0,02224437
Customizado ; Obliterante ; BBGP ;1976,3135;1,27725;359,22726;1,4186375;1,1106968;0,025475724
Customizado ; Reminiscente ; BBGP ;36083,996;9,48425;1491,098;11,032375;1,1632311;0,02163424
Customizado ; Persistente ; BBGP ;39454,477;123,7765;0;14,623169;0,118141726;0,037063397
Customizado ; Obliterante ; BBGP ;1917,0918;1,24975;367,35324;0,7870045;0,6297295;0,01407722
Customizado ; Obliterante ; BBGP ;1931,217;1,25875;374,219;0;0;0
Customizado ; Reminiscente ; BBGP ;20348,68;5,00075;1294,6152;3,0402868;0,6079661;0,009131407
Customizado ; Persistente ; BBGP ;53479,82;128,29324;0;12,949851;0,10093946;0,024214463
Customizado ; Persistente ; BBGP ;40035,547;127,1095;0;15,775561;0,12411001;0,039403886
Customizado ; Obliterante ; BBGP ;2009,7323;1,27075;352,171;1,1943985;0,9399162;0,021592895
Customizado ; Reminiscente ; BBGP ;30643,57;8,439;1310,6643;9,252037;1,0963428;0,021147411
Customizado ; Obliterante ; BBGP ;1648,8633;1,2235;334,53925;0;0;0
Customizado ; Reminiscente ; BBGP ;11209,271;3,9515;920,34174;5,3762326;1,3605549;0,026337702
Customizado ; Persistente ; BBGP ;38999,56;128,14525;0;13,753702;0,107329;0,035266303
Customizado ; Reminiscente ; BBGP ;20283,002;7,09875;1111,8087;9,533478;1,3429798;0,030360341
Customizado ; Persistente ; BBGP ;40024,46;121,72;0;17,448965;0,14335331;0,043595754
