relevancia;persistencia;raciocinio;comparacoes;crencasAtivas;movimentacoes;utilidade;cpu;memoria
Customizado ; Reminiscente ; BBGP ;41888,844;17,21425;936,218;22,053865;1,28114;0,04303107
Customizado ; Persistente ; BBGP ;82485,49;188,366;0;29,795362;0,15817803;0,036121942
Customizado ; Obliterante ; BBGP ;2300,5537;1,3245;498,06424;1,3274244;1,002208;0,018230857
Customizado ; Persistente ; BBGP ;74118,75;179,12276;0;35,446827;0,19789125;0,04782437
Customizado ; Reminiscente ; BBGP ;21416,51;11,80575;717,36725;21,853941;1,8511269;0,07643862
Customizado ; Obliterante ; BBGP ;2200,2402;1,3155;463,52475;3,5201378;2,6758933;0,051497977
Customizado ; Obliterante ; BBGP ;2292,2146;1,31825;479,06424;1,4344422;1,0881413;0,020252308
Customizado ; Persistente ; BBGP ;75339,31;182,35925;0;29,62052;0,16242948;0,039316155
Customizado ; Reminiscente ; BBGP ;20973,787;11,31525;631,4678;13,941953;1,2321383;0,05109101
Customizado ; Obliterante ; BBGP ;2485,6558;1,314;493,2755;1,5058798;1,1460272;0,020299224
Customizado ; Persistente ; BBGP ;79727,06;187,4185;0;30,821892;0,1644549;0,03865926
Customizado ; Reminiscente ; BBGP ;38301,438;15,6285;802,98724;17,62085;1,1274818;0,03803227
Customizado ; Obliterante ; BBGP ;2409,1853;1,331;476,62177;1,6764628;1,2595513;0,02336402
Customizado ; Reminiscente ; BBGP ;26878,969;12,844;728,8212;11,171989;0,86982167;0,032698017
Customizado ; Persistente ; BBGP ;72031,9;188,74225;0;28,181805;0,1493137;0,03912406
Customizado ; Persistente ; BBGP ;73568,95;175,68225;0;30,12445;0,17147122;0,040947232
Customizado ; Reminiscente ; BBGP ;24380,12;12,52675;700,92975;21,72856;1,7345728;0,06922257
Customizado ; Obliterante ; BBGP ;2272,0554;1,284;456,12;2,1781864;1,6964068;0,03187626
Customizado ; Reminiscente ; BBGP ;15832,755;8,576;673,9865;14,507248;1,69161;0,06426922
Customizado ; Obliterante ; BBGP ;2194,935;1,2675;476,502;1,5190601;1,1984695;0,021825716
Customizado ; Persistente ; BBGP ;69081,67;183,79276;0;31,421904;0,17096378;0,045485154
Customizado ; Persistente ; BBGP ;55686,1;175,74875;0;30,965868;0,17619395;0,055607896
Customizado ; Obliterante ; BBGP ;2033,1632;1,28825;439,06924;2,6560798;2,0617735;0,041347127
Customizado ; Reminiscente ; BBGP ;19387,664;9,484;601,981;19,148895;2,0190737;0,075367175
Customizado ; Obliterante ; BBGP ;2162,8877;1,3235;460,75476;4,2107835;3,1815515;0,062193684
Customizado ; Reminiscente ; BBGP ;32125,902;11,62575;757,2935;22,344858;1,9220144;0,05628593
Customizado ; Persistente ; BBGP ;76581;186,8455;0;30,285427;0,16208807;0,03954692
Customizado ; Obliterante ; BBGP ;2464,966;1,33625;494,689;2,9775033;2,2282534;0,040172167
Customizado ; Reminiscente ; BBGP ;16984,764;8,12475;784,90027;22,150988;2,7263591;0,08919706
