SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 77859,055 ; 48,61425 ; 60633,3 ; 14,775825 ; 0,3039402 ; 0,0021596018
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 78120,51 ; 20,03275 ; 20163,523 ; 12,143898 ; 0,60620224 ; 0,004340893
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 52716,844 ; 29,9515 ; 511,705 ; 26,85485 ; 0,8966112 ; 0,04643445
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 53039,89 ; 18,047 ; 10672,196 ; 12,187155 ; 0,67530084 ; 0,0076283263
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 6758,0195 ; 1,47025 ; 688,84326 ; 2,8463368 ; 1,9359543 ; 0,020857707
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 19645,293 ; 6,60375 ; 506,21024 ; 4,987584 ; 0,7552654 ; 0,020186605
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 121899,93 ; 30,83475 ; 1088,3735 ; 28,142378 ; 0,91268384 ; 0,021194156
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 3726,6428 ; 1,32125 ; 488,672 ; 2,1360207 ; 1,6166666 ; 0,024798919
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 2539,0466 ; 1,30125 ; 485,2035 ; 2,9391809 ; 2,2587366 ; 0,039766584
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 74364,78 ; 19,767 ; 20829,428 ; 12,815016 ; 0,6483035 ; 0,004533736
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 76063,63 ; 19,68375 ; 19905,03 ; 12,011464 ; 0,61022234 ; 0,004365996
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 4753,3467 ; 1,32375 ; 499,2835 ; 2,8483188 ; 2,1517045 ; 0,029224971
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 4951,0903 ; 1,34475 ; 504,0645 ; 2,833258 ; 2,106903 ; 0,028356016
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 35974,79 ; 28,43 ; 354,99475 ; 20,631979 ; 0,7257115 ; 0,05220017
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 35812,84 ; 5,48825 ; 1568,934 ; 2,4130719 ; 0,43967968 ; 0,004685378
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 4616,895 ; 1,42325 ; 597,1392 ; 2,9309404 ; 2,0593293 ; 0,027680967
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 45465,28 ; 19,73025 ; 13627,236 ; 13,007935 ; 0,6592889 ; 0,007157535
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 56194,477 ; 23,09275 ; 15147,681 ; 15,300434 ; 0,6625644 ; 0,0073676216
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 69691,09 ; 39,4595 ; 233,20026 ; 27,611282 ; 0,69973725 ; 0,038336705
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 2764,9492 ; 1,3535 ; 509,6995 ; 2,8154879 ; 2,0801535 ; 0,0358116
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 48007,58 ; 26,612 ; 383,152 ; 20,939955 ; 0,78686136 ; 0,04039413
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 2864,022 ; 1,43875 ; 501,726 ; 2,2165232 ; 1,5405895 ; 0,02812389
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 56120,066 ; 14,43975 ; 16631,984 ; 10,070805 ; 0,6974362 ; 0,0045274273
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 4780,132 ; 1,322 ; 497,223 ; 2,6852765 ; 2,0312228 ; 0,027534628
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 29077,568 ; 11,5375 ; 912,6 ; 18,167967 ; 1,5746883 ; 0,047555678
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 59250,547 ; 37,29225 ; 301,2635 ; 28,88752 ; 0,77462524 ; 0,04639583
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 20052,365 ; 6,2135 ; 499,77075 ; 5,5034175 ; 0,8857194 ; 0,021969667
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 139995,66 ; 48,665 ; 60103,18 ; 14,394324 ; 0,2957839 ; 0,0019424817
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 3927,895 ; 1,3225 ; 534,046 ; 3,4286995 ; 2,5925894 ; 0,03699361
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 69922,2 ; 25,5265 ; 443,0085 ; 23,797071 ; 0,93224967 ; 0,032005835
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 2821,5227 ; 1,317 ; 545,2875 ; 2,9591444 ; 2,2468824 ; 0,035762656
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 72574,89 ; 25,9115 ; 445,79324 ; 23,747845 ; 0,91649824 ; 0,030828215
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 109009,484 ; 50,7925 ; 39958,555 ; 15,089727 ; 0,29708573 ; 0,0029669434
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 3871,8665 ; 1,2865 ; 522,0465 ; 2,1061413 ; 1,6371095 ; 0,023163931
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 43878,492 ; 39,02325 ; 232,6135 ; 27,625559 ; 0,7079256 ; 0,05978959
