DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 1382588,5 ; 135,38425 ; 596,5408 ; 13,655456 ; 0,10086443 ; 9,8343E-4
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 47773,297 ; 2,02475 ; 895,8935 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 30260,836 ; 1,8405 ; 869,5955 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 262685,7 ; 17,21675 ; 1069,9862 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 44852,223 ; 2,21875 ; 1159,9418 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 12997,168 ; 1,75575 ; 1133,931 ; 0,0 ; 0,0 ; 0,0
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 19377,828 ; 3,03675 ; 929,25323 ; 0,0 ; 0,0 ; 0,0
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 102682,13 ; 4,2345 ; 1105,8195 ; 0,0 ; 0,0 ; 0,0
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 576658,5 ; 46,199 ; 994,321 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 34876,043 ; 2,08475 ; 879,1625 ; 0,0 ; 0,0 ; 0,0
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 214208,38 ; 32,5065 ; 23552,514 ; 0,7364813 ; 0,022656431 ; 1,637595E-4
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 38935,71 ; 2,55375 ; 847,5068 ; 0,0 ; 0,0 ; 0,0
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 42502,55 ; 2,60275 ; 856,664 ; 0,0 ; 0,0 ; 0,0
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 2024973,1 ; 133,88174 ; 704,65027 ; 15,973107 ; 0,119307585 ; 7,8607054E-4
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 76518,445 ; 3,10525 ; 958,7172 ; 0,0 ; 0,0 ; 0,0
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 1617130,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,00125689
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 281110,78 ; 48,18075 ; 977,514 ; 1,5999923 ; 0,03320812 ; 5,5004115E-4
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 58387,043 ; 2,54825 ; 860,4263 ; 0,0 ; 0,0 ; 0,0
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 74404,17 ; 3,19275 ; 866,3815 ; 0,0 ; 0,0 ; 0,0
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 1293828,1 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,001570962
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 1315732,4 ; 107,165 ; 137709,77 ; 8,191738 ; 0,076440424 ; 3,0420555E-4
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 28426,322 ; 1,69 ; 886,34424 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 359123,47 ; 17,25525 ; 1069,509 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 1379563,2 ; 135,22626 ; 594,53577 ; 13,655309 ; 0,10098119 ; 9,85581E-4
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 1293828,1 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,001570962
